DEPT,RDEEP_1,RSHAL_1,RMICRO_1,DENB_1,CALI_1,NEUT_1,GR_1,SP_1,DTCOMP_1,PEF_1,DTSH_1
1512.7224,4.2968,3.5147,2.2761,2.3791,12.1168,0.2574,78.5346,-85.375,102.7261,8.3503,198.1183
1512.8748,4.3421,3.553,1.9676,2.3943,12.1296,0.2468,77.6145,-85.875,102.7415,8.9722,195.7459
1513.0272,4.2816,3.5013,1.8819,2.408,12.2257,0.2564,83.4306,-86.5625,102.675,9.7357,195.3651
1513.1796,4.262,3.4868,2.2969,2.4129,12.1088,0.2719,86.1042,-86.6875,102.3715,9.2484,196.0112
1513.332,4.2777,3.4763,1.9728,2.3994,12.1788,0.2882,84.3361,-87.3125,102.8112,9.5217,196.0871
1513.4844,4.2801,3.4689,1.9331,2.4008,12.0783,0.2801,82.9685,-87.875,103.5974,8.3812,198.8842
1513.6368,4.2401,3.4529,2.1166,2.3868,12.1861,0.2853,81.1452,-88.5625,101.6047,8.8571,194.3865
1513.7892,4.2644,3.4634,2.2254,2.4006,12.1266,0.2792,85.1649,-88.5625,101.9549,8.5589,195.782
1513.9416,4.1318,3.4032,2.2016,2.3961,12.1604,0.2694,83.715,-88.625,103.7236,10.4718,196.5284
1514.094,4.1182,3.3665,1.9741,2.4059,12.1938,0.2641,87.146,-88.1875,103.9049,12.6813,197.0073
1514.2464,4.2239,3.4621,1.5549,2.4089,12.524,0.2482,86.0435,-88.8125,103.9719,12.7814,205.4126
1514.3988,4.2777,3.4718,2.4538,2.4216,12.6469,0.2781,88.2859,-88.75,104.3905,10.0411,204.803
1514.5512,4.429,3.5561,1.8353,2.3897,12.4054,0.2768,83.7271,-88.75,104.3518,7.924,202.76
1514.7036,4.6412,3.6935,1.4626,2.3391,12.2582,0.279,82.2685,-88.4375,104.6574,7.3676,205.035
1514.856,4.7229,3.7434,1.8833,2.3302,12.0808,0.2646,79.4368,-88.4375,104.6554,8.0572,200.8842
1515.0084,4.8275,3.8161,1.9067,2.3445,12.1193,0.2514,78.7287,-88.0625,103.529,8.9566,204.9366
1515.1608,4.9574,3.9074,1.7235,2.3565,12.0654,0.256,77.0398,-88.125,102.2866,9.239,195.9095
1515.3132,5.3634,4.1974,1.6745,2.3479,12.0808,0.2562,78.1545,-88,102.8975,8.5373,191.8932
1515.4656,6.1543,4.7557,2.0814,2.319,12.1682,0.2665,80.4766,-87.875,103.4358,8.0689,193.9238
1515.618,7.541,5.6767,1.2199,2.2795,12.0756,0.2927,77.0605,-87.875,103.1485,7.4222,192.6001
1515.7704,9.1576,6.7914,1.3088,2.2345,12.0591,0.293,72.4005,-87.5,104.0708,7.3554,190.1717
1515.9228,9.5498,7.037,1.315,2.2131,12.0602,0.2925,67.7817,-87.1875,104.222,7.4185,192.9187
1516.0752,8.9382,6.7214,1.3526,2.2217,12.0736,0.2749,69.1305,-86.875,103.0225,7.5852,189.7132
1516.2276,7.7359,5.9462,1.5924,2.2557,12.0808,0.2702,72.8791,-86.625,104.8045,7.9581,190.0293
1516.38,6.0913,4.7992,2.2339,2.2999,12.0911,0.2687,74.5932,-86.625,105.8354,8.2794,193.6444
1516.5324,5.0518,3.9895,1.7549,2.338,12.1266,0.2633,79.9433,-86.6875,106.2368,8.8108,198.5225
1516.6848,4.5209,3.6155,1.5776,2.3464,12.1117,0.2701,81.7205,-86.3125,105.8284,8.372,205.0633
1516.8372,4.2054,3.4014,1.2492,2.359,12.1296,0.2917,84.559,-85.9375,104.4469,8.7805,203.1376
1516.9896,4.2385,3.4325,2.0542,2.3824,12.1627,0.2816,82.6984,-85.875,105.4329,9.7085,197.5582
1517.142,4.5754,3.7116,2.0174,2.4039,12.1376,0.2733,80.2534,-85.9375,104.3415,10.3347,190.2228
1517.2944,4.9404,3.9835,2.1089,2.3909,12.0975,0.2476,79.0475,-85.8125,102.2157,9.417,187.0254
1517.4468,5.243,4.1883,1.4436,2.3379,12.1322,0.2702,79.4357,-85.875,101.529,8.362,185.4324
1517.5992,5.4625,4.3563,1.3446,2.298,12.0834,0.2691,76.9574,-86.25,105.3187,7.9938,186.3128
1517.7516,5.4131,4.2966,1.5101,2.2788,12.0591,0.2663,73.8188,-86.1875,104.7422,8.3708,186.1279
1517.904,5.4885,4.3611,1.5337,2.2938,12.0577,0.2612,71.4253,-86.375,104.2625,8.6643,182.3086
1518.0564,5.7087,4.5069,1.5299,2.3065,12.0663,0.2681,72.1569,-86.5,102.0406,8.2168,181.6661
1518.2088,5.7839,4.6059,1.4018,2.3093,12.0758,0.2618,72.435,-86.1875,100.7534,8.4439,173.3321
1518.3612,5.6295,4.479,1.7258,2.3431,12.0679,0.2482,69.8181,-85.6875,98.4376,8.1989,174.674
1518.5136,5.3084,4.3117,1.936,2.3786,12.0759,0.2326,69.9847,-85.375,98.4092,8.6536,177.8574
1518.666,4.6803,3.8851,1.9361,2.4043,12.0911,0.2417,74.8609,-85.3125,99.8152,7.4078,187.398
1518.8184,4.0664,3.461,1.5221,2.4014,12.1024,0.2489,85.346,-85.4375,103.6751,7.5026,196.6628
1518.9708,3.7401,3.2041,1.4346,2.3993,12.1399,0.2853,90.2224,-85.5625,104.1485,6.7326,204.3258
1519.1232,3.6222,3.1302,1.3249,2.3908,12.2221,0.2883,92.8667,-85.625,106.2325,7.243,215.6887
1519.2756,3.5848,3.1165,1.5482,2.3887,12.2977,0.2984,91.1572,-85.75,107.0265,7.2547,219.9441
1519.428,3.5973,3.1551,1.2797,2.3891,12.4633,0.2857,93.4521,-85.8125,109.3748,8.945,225.6119
1519.5804,3.6854,3.2469,0.6854,2.3777,12.325,0.2962,91.0716,-86.1875,107.9712,10.2939,223.4118
1519.7328,3.7536,3.3131,1.5198,2.3836,12.5382,0.3119,89.4942,-86.6875,106.9569,11.3977,215.6104
1519.8852,3.9214,3.4458,1.21,2.3968,12.574,0.3148,93.0191,-87.125,105.598,9.8923,206.8808
1520.0376,4.2932,3.7445,1.9492,2.4044,12.2221,0.3029,91.6515,-87.875,100.7551,8.8062,197.6185
1520.19,4.7187,4.0523,1.8604,2.3643,12.1025,0.2719,86.668,-88,99.2197,8.2188,195.5637
1520.3424,5.1443,4.3732,1.3106,2.3262,12.086,0.246,77.5483,-88.3125,100.3858,8.0662,195.9952
1520.4948,5.3659,4.5392,2.1395,2.3045,12.0759,0.249,75.8424,-88.25,102.0724,7.5985,187.7102
1520.6472,5.4148,4.6091,1.8407,2.3331,12.0885,0.2613,80.6562,-88.3125,106.4301,7.6565,190.5613
1520.7996,5.6987,4.882,2.0758,2.338,12.2324,0.2791,81.1769,-88.0625,108.6115,7.9088,189.6892
1520.952,6.5861,5.4875,1.6515,2.2934,12.0834,0.2988,77.7736,-87.6875,108.4672,8.0107,195.2234
1521.1044,8.9186,7.2194,1.571,2.2133,12.0345,0.3016,67.004,-87.4375,108.3398,7.4427,193.346
1521.2568,11.5904,9.2144,1.7535,2.1558,12.0543,0.3002,60.7847,-86.375,108.0782,7.026,193.3067
1521.4092,11.6679,9.4187,1.5293,2.1294,12.0525,0.2907,56.1659,-85.625,108.3453,6.9016,197.133
1521.5616,9.2658,7.8025,1.0202,2.1417,12.0602,0.2929,60.4768,-84.6875,108.1537,6.9213,196.9047
1521.714,6.8916,6.0409,1.5655,2.2128,12.0639,0.2891,66.9478,-84.3125,109.2833,7.1748,198.0614
1521.8664,5.625,4.9358,1.5729,2.3089,12.181,0.2918,76.5237,-84.25,108.9857,7.8373,203.5578
1522.0188,5.2559,4.6046,2.2905,2.3787,12.1895,0.2877,78.5332,-83.9375,109.8776,8.514,197.8488
1522.1712,5.5514,4.8314,1.8079,2.375,12.0422,0.2747,73.7532,-83.3125,106.9903,8.2718,195.6668
1522.3236,6.7938,5.8195,1.8517,2.3079,12.0567,0.2825,66.1556,-83,107.285,7.7914,193.555
1522.476,8.9509,7.5571,1.6257,2.2333,12.0628,0.289,62.266,-82.625,106.4854,7.3295,196.0011
1522.6284,12.3992,10.191,1.508,2.1789,12.0654,0.3277,61.031,-82.625,108.9477,7.2792,193.3619
1522.7808,16.5269,13.2316,1.232,2.1503,12.0639,0.3071,62.2338,-82.5,108.9448,7.3537,191.1567
1522.9332,18.3945,14.4848,1.2294,2.1492,12.0602,0.3023,61.0084,-82.25,108.8182,7.547,191.3324
1523.0856,16.4294,12.6876,1.2354,2.1539,12.0688,0.2865,58.957,-82.5625,109.5597,7.3447,190.1455
1523.238,13.2307,10.307,1.1521,2.1516,12.0551,0.3115,57.1129,-82,109.0994,7.3356,193.4912
1523.3904,11.2332,8.8951,1.0112,2.1637,12.0654,0.2975,57.3659,-81.75,108.7089,7.6465,191.5071
1523.5428,9.3293,7.5606,1.1689,2.1973,12.0591,0.2853,60.3291,-81.375,108.0428,8.1389,192.3059
